1:0:d=2015123100:UGRD:planetary boundary layer:3 hour fcst:
2:170573:d=2015123100:VGRD:planetary boundary layer:3 hour fcst:
3:338576:d=2015123100:var discipline=0 center=7 local_table=1 parmcat=2 parm=224:planetary boundary layer:3 hour fcst:
4:426565:d=2015123100:GUST:surface:3 hour fcst:
311:56136552:d=2015123100:VGRD:80 m above ground:3 hour fcst:
312:56392469:d=2015123100:TMP:100 m above ground:3 hour fcst:
313:56534470:d=2015123100:UGRD:100 m above ground:3 hour fcst:
314:56796008:d=2015123100:VGRD:100 m above ground:3 hour fcst:
315:57054720:d=2015123100:TMP:1829 m above mean sea level:3 hour fcst:
316:57207564:d=2015123100:UGRD:1829 m above mean sea level:3 hour fcst:
317:57476403:d=2015123100:VGRD:1829 m above mean sea level:3 hour fcst:
318:57748903:d=2015123100:TMP:2743 m above mean sea level:3 hour fcst:
319:57894524:d=2015123100:UGRD:2743 m above mean sea level:3 hour fcst:
320:58165187:d=2015123100:VGRD:2743 m above mean sea level:3 hour fcst:
321:58436401:d=2015123100:TMP:3658 m above mean sea level:3 hour fcst:
322:58579408:d=2015123100:UGRD:3658 m above mean sea level:3 hour fcst:
323:58850544:d=2015123100:VGRD:3658 m above mean sea level:3 hour fcst:
324:59122109:d=2015123100:HGT:0C isotherm:3 hour fcst:
325:59358915:d=2015123100:RH:0C isotherm:3 hour fcst:
326:59496952:d=2015123100:HGT:highest tropospheric freezing level:3 hour fcst:
327:59735510:d=2015123100:RH:highest tropospheric freezing level:3 hour fcst:
328:59872915:d=2015123100:TMP:30-0 mb above ground:3 hour fcst:
329:60015725:d=2015123100:RH:30-0 mb above ground:3 hour fcst:
330:60141284:d=2015123100:SPFH:30-0 mb above ground:3 hour fcst:
331:60434971:d=2015123100:UGRD:30-0 mb above ground:3 hour fcst:
332:60693602:d=2015123100:VGRD:30-0 mb above ground:3 hour fcst:
333:60952317:d=2015123100:4LFTX:surface:3 hour fcst:
334:61104252:d=2015123100:CAPE:180-0 mb above ground:3 hour fcst:
335:61248243:d=2015123100:CIN:180-0 mb above ground:3 hour fcst:
336:61393478:d=2015123100:HPBL:surface:3 hour fcst:
337:61791514:d=2015123100:RH:0.33-1 sigma layer:3 hour fcst:
338:61909458:d=2015123100:RH:0.44-1 sigma layer:3 hour fcst:
