1:0:d=2016010100:UGRD:planetary boundary layer:48 hour fcst:
2:180556:d=2016010100:VGRD:planetary boundary layer:48 hour fcst:
3:359112:d=2016010100:var discipline=0 center=7 local_table=1 parmcat=2 parm=224:planetary boundary layer:48 hour fcst:
4:447804:d=2016010100:GUST:surface:48 hour fcst:
353:67074615:d=2016010100:UGRD:PV=2e-06 (Km^2/kg/s) surface:48 hour fcst:
354:67201006:d=2016010100:VGRD:PV=2e-06 (Km^2/kg/s) surface:48 hour fcst:
355:67323597:d=2016010100:TMP:PV=2e-06 (Km^2/kg/s) surface:48 hour fcst:
356:67501550:d=2016010100:HGT:PV=2e-06 (Km^2/kg/s) surface:48 hour fcst:
357:67719614:d=2016010100:PRES:PV=2e-06 (Km^2/kg/s) surface:48 hour fcst:
358:67933027:d=2016010100:VWSH:PV=2e-06 (Km^2/kg/s) surface:48 hour fcst:
359:68079681:d=2016010100:UGRD:PV=-2e-06 (Km^2/kg/s) surface:48 hour fcst:
360:68205527:d=2016010100:VGRD:PV=-2e-06 (Km^2/kg/s) surface:48 hour fcst:
361:68329418:d=2016010100:TMP:PV=-2e-06 (Km^2/kg/s) surface:48 hour fcst:
362:68509419:d=2016010100:HGT:PV=-2e-06 (Km^2/kg/s) surface:48 hour fcst:
363:68727006:d=2016010100:PRES:PV=-2e-06 (Km^2/kg/s) surface:48 hour fcst:
364:68940932:d=2016010100:VWSH:PV=-2e-06 (Km^2/kg/s) surface:48 hour fcst:
365:69091358:d=2016010100:PRMSL:mean sea level:48 hour fcst:
366:69295809:d=2016010100:5WAVH:500 mb:48 hour fcst:
