1:0:d=2015012800:PRMSL:mean sea level:48 hour fcst:
2:1536377:d=2015012800:PRES:1 hybrid level:48 hour fcst:
3:1853650:d=2015012800:HGT:1 hybrid level:48 hour fcst:
4:2818039:d=2015012800:TMP:1 hybrid level:48 hour fcst:
5:3771342:d=2015012800:RH:1 hybrid level:48 hour fcst:
6:5253796:d=2015012800:DPT:1 hybrid level:48 hour fcst:
7:6859422:d=2015012800:SPFH:1 hybrid level:48 hour fcst:
8:7432021:d=2015012800:UGRD:1 hybrid level:48 hour fcst:
9:8603661:d=2015012800:VGRD:1 hybrid level:48 hour fcst:
10:9742798:d=2015012800:PRES:2 hybrid level:48 hour fcst:
11:10064214:d=2015012800:HGT:2 hybrid level:48 hour fcst:
12:11094891:d=2015012800:TMP:2 hybrid level:48 hour fcst:
13:12018575:d=2015012800:DPT:2 hybrid level:48 hour fcst:
14:13598875:d=2015012800:SPFH:2 hybrid level:48 hour fcst:
15:14144158:d=2015012800:UGRD:2 hybrid level:48 hour fcst:
16:15324695:d=2015012800:VGRD:2 hybrid level:48 hour fcst:
17:16472999:d=2015012800:REFC:entire atmosphere (considered as a single layer):48 hour fcst:
18:17133645:d=2015012800:VIS:surface:48 hour fcst:
19:17239804:d=2015012800:VIS:surface:48 hour fcst:
20:17850726:d=2015012800:GUST:surface:48 hour fcst:
207:210755685:d=2015012800:VVEL:900 mb:48 hour fcst:
208:212011114:d=2015012800:UGRD:900 mb:48 hour fcst:
209:213132142:d=2015012800:VGRD:900 mb:48 hour fcst:
210:214264039:d=2015012800:ABSV:900 mb:48 hour fcst:
211:215237607:d=2015012800:HGT:925 mb:48 hour fcst:
212:216639432:d=2015012800:TMP:925 mb:48 hour fcst:
213:217637561:d=2015012800:RH:925 mb:48 hour fcst:
214:219216605:d=2015012800:DPT:925 mb:48 hour fcst:
215:220393366:d=2015012800:SPFH:925 mb:48 hour fcst:
216:221505929:d=2015012800:VVEL:925 mb:48 hour fcst:
217:223141873:d=2015012800:UGRD:925 mb:48 hour fcst:
218:224310014:d=2015012800:VGRD:925 mb:48 hour fcst:
219:225483116:d=2015012800:ABSV:925 mb:48 hour fcst:
220:226492328:d=2015012800:HGT:950 mb:48 hour fcst:
221:227946465:d=2015012800:TMP:950 mb:48 hour fcst:
222:228950338:d=2015012800:RH:950 mb:48 hour fcst:
223:230530623:d=2015012800:DPT:950 mb:48 hour fcst:
224:231702719:d=2015012800:SPFH:950 mb:48 hour fcst:
225:232827497:d=2015012800:VVEL:950 mb:48 hour fcst:
226:234590539:d=2015012800:UGRD:950 mb:48 hour fcst:
227:235767836:d=2015012800:VGRD:950 mb:48 hour fcst:
228:236945857:d=2015012800:ABSV:950 mb:48 hour fcst:
229:237960618:d=2015012800:HGT:975 mb:48 hour fcst:
230:239443730:d=2015012800:TMP:975 mb:48 hour fcst:
231:240405041:d=2015012800:RH:975 mb:48 hour fcst:
232:241943648:d=2015012800:DPT:975 mb:48 hour fcst:
233:243066716:d=2015012800:SPFH:975 mb:48 hour fcst:
234:244154085:d=2015012800:VVEL:975 mb:48 hour fcst:
235:245840426:d=2015012800:UGRD:975 mb:48 hour fcst:
236:247003509:d=2015012800:VGRD:975 mb:48 hour fcst:
237:248164675:d=2015012800:ABSV:975 mb:48 hour fcst:
238:249145858:d=2015012800:TMP:1000 mb:48 hour fcst:
239:250064827:d=2015012800:RH:1000 mb:48 hour fcst:
240:251548198:d=2015012800:DPT:1000 mb:48 hour fcst:
241:252619293:d=2015012800:SPFH:1000 mb:48 hour fcst:
242:253663587:d=2015012800:VVEL:1000 mb:48 hour fcst:
243:255184972:d=2015012800:UGRD:1000 mb:48 hour fcst:
244:256357782:d=2015012800:VGRD:1000 mb:48 hour fcst:
245:257502554:d=2015012800:ABSV:1000 mb:48 hour fcst:
246:258432112:d=2015012800:MSLET:mean sea level:48 hour fcst:
247:259991160:d=2015012800:PRMSL:mean sea level:48 hour fcst:
248:261494787:d=2015012800:HGT:1000 mb:48 hour fcst:
249:262970525:d=2015012800:PRES:surface:48 hour fcst:
250:264301459:d=2015012800:HGT:surface:48 hour fcst:
